"shapeid","x","y"
"0","114.243068365","30.566819511"
"0","114.241539115","30.567392432"
"0","114.240669753","30.568513368"
"0","114.239162829","30.569688079"
"0","114.236472889","30.570894038"
"0","114.232352993","30.572076452"
"0","114.22822293","30.572286322"
"0","114.227015276","30.572110175"
"0","114.220193672","30.572415874"
"0","114.218754055","30.572853348"
"0","114.216514946","30.574000117"
"0","114.213694493","30.574330219"
"0","114.211110204","30.575539323"
"0","114.207194219","30.576637818"
"0","114.205381295","30.577507275"
"0","114.206891604","30.579057787"
"0","114.20701948","30.57940164"
"0","114.20694466","30.579745506"
"0","114.206259492","30.58069009"
"0","114.204980959","30.581596023"
"0","114.204304164","30.581870076"
"0","114.201633527","30.582036803"
"0","114.198223142","30.581560991"
"0","114.196059521","30.580676768"
"0","114.195152555","30.579591519"
"0","114.193861631","30.580172934"
"0","114.19308896","30.580269691"
"0","114.188172351","30.57933404"
"0","114.186865299","30.579424379"
"0","114.186129537","30.579686615"
"0","114.181755864","30.582374311"
"0","114.178427491","30.584719119"
"0","114.177043257","30.585467059"
"0","114.176582587","30.585469232"
"0","114.176211531","30.585277986"
"0","114.175439596","30.583818824"
"0","114.173839799","30.582723959"
"0","114.169008296","30.586656952"
"0","114.168342573","30.586973964"
"0","114.16760553","30.587066407"
"0","114.167619901","30.589808516"
"0","114.168635859","30.593797977"
"0","114.169027204","30.596007026"
"0","114.168797783","30.596963287"
"0","114.164245152","30.601064553"
"0","114.16362242","30.601383677"
"0","114.162859581","30.601499746"
"0","114.156750975","30.607245784"
"0","114.155181645","30.609358021"
"0","114.154376461","30.611606636"
"0","114.158730753","30.613555286"
"0","114.161509749","30.610224762"
"0","114.163780574","30.60824572"
"0","114.164849257","30.607970639"
"0","114.170483088","30.608170221"
"0","114.171440022","30.608021917"
"0","114.172181901","30.607644782"
"0","114.173787089","30.606303901"
"0","114.174187191","30.605110253"
"0","114.174495421","30.604744949"
"0","114.177313171","30.603594147"
"0","114.175289299","30.597928888"
"0","114.174562239","30.594672295"
"0","114.174625919","30.594042662"
"0","114.175616906","30.592834918"
"0","114.176723425","30.591809819"
"0","114.18125304","30.588824667"
"0","114.182467231","30.590274087"
"0","114.182833229","30.590012968"
"0","114.182900663","30.58960251"
"0","114.181759022","30.588371202"
"0","114.183898219","30.585937327"
"0","114.184557547","30.584834833"
"0","114.185300591","30.584291082"
"0","114.186430715","30.5841062"
"0","114.187889017","30.584459636"
"0","114.19363928","30.587636646"
"0","114.19599751","30.590043381"
"0","114.199399633","30.591486209"
"0","114.200652698","30.59154308"
"0","114.201341779","30.591264748"
"0","114.204036449","30.589455142"
"0","114.206930233","30.587956029"
"0","114.207541805","30.58733385"
"0","114.207977668","30.586608525"
"0","114.208320999","30.584711971"
"0","114.208580062","30.584284291"
"0","114.215005946","30.5798954"
"0","114.218722185","30.576624127"
"0","114.219777254","30.576072788"
"0","114.222709354","30.575298866"
"0","114.224142911","30.575088138"
"0","114.226843087","30.575044954"
"0","114.233032264","30.575334624"
"0","114.236718764","30.574852913"
"0","114.238812984","30.573893122"
"0","114.242128963","30.571314836"
"0","114.245285431","30.569283509"
"0","114.247883282","30.568209714"
"0","114.249696357","30.567751756"
"0","114.252381752","30.567562385"
"0","114.259653995","30.566493527"
"0","114.262132813","30.565764674"
"0","114.261640623","30.563617506"
"0","114.259890082","30.563754151"
"0","114.256639785","30.564498124"
"0","114.252858593","30.564712319"
"0","114.250948418","30.565027367"
"0","114.247771573","30.56504376"
"0","114.243068365","30.566819511"
